SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
Tt.10I1,10I1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.33156451,0.386375339,20.02,74.69,F,gravid,1/9/22,0,0,0,12156,31,3.807874405,1.769316122,0.357134843,5.866839787,18,1065,0.0876110562685094,2,120,0.031578947,Low,0.0164527805199079,
Tt.10I4,10I4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,1.085728784,1.045689086,17.04,70.46,M,terrestrial,1/9/22,563.2262,2.7515,1,10586,50,6.81725956,2.208602757,0.391328674,9.102988415,4,2220,0.209710938976006,0,0,0,High,0,
Tt.10J1,10J1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.443634576,0.645196695,22.22,74,M,aquatic,1/10/22,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
Tt.10J4,10J4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.154988631,0.297878997,21.89,72.13,M,aquatic,1/9/22,23038.596,4.3625,1,12297,33,4.576732473,2.134022827,0.423048393,8.448786543,8,2568,0.208831422298121,0,0,0,Low,0,
Tt.10K1,10K1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.639088103,1.471545461,17.69,73.37,F,gravid,1/10/22,0,0,0,9923,42,4.097134792,2.429990776,0.450639416,11.35877731,19,1438,0.144915852060869,2,34,0.008947368,High,0.0201551950015116,
Tt.10K4,10K4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.024301955,0.020791206,23.56,74.67,M,terrestrial,1/9/22,195.3811,2.2931,1,9801,97,9.450817616,1.902204775,0.288216651,6.700651597,25,3433,0.350270380573411,4,21,0.005526316,Low,0.0408121620242832,
Tt.10L1,10L1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.230113682,1.8287783,22.91,82.37,F,gravid,1/10/22,0,0,0,12380,15,2.380072146,1.556095657,0.398295171,4.7402774,10,17,0.00137318255250404,0,0,0,High,0,
Tt.10L4,10L4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.124577824,0.148626854,18.12,72.01,M,terrestrial,1/9/22,287.1526,2.4596,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
Tt.10M1,10M1,2/19/20,Bolinger,37.812139,-122.044156,Taricha_torosa,Tt,0.108607589,0.156432215,13.78,71.47,M,aquatic,1/9/22,0,0,0,6473,84,7.810764734,3.897226821,0.609673545,49.26563706,20,175,0.0270353777228488,2,2,0.000526,Low,0.0308975745403986,
Tt.10M4,10M4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,0.857241683,0.464483663,14.57,66.22,F,gravid,1/9/22,339.3025,2.5319,1,8998,55,4.546476421,2.213848131,0.382928626,9.150862444,21,3646,0.405201155812403,1,28,0.007368421,Low,0.0111135807957324,
Tt.10N1,10N1,2/20/20,Gunstock,37.836388,-122.54455,Taricha_torosa,Tt,0.009441557,0.005138848,8.58,56.37,M,aquatic,1/10/22,0,0,0,9416,57,6.59281945,2.877574727,0.493336017,17.77112104,21,839,0.0891036533559898,4,171,0.045,Low,0.0424808836023789,
